,body_nose_x,body_nose_y,body_nose_z,body_neck_x,body_neck_y,body_neck_z,body_shoulder-r_x,body_shoulder-r_y,body_shoulder-r_z,body_elbow-r_x,body_elbow-r_y,body_elbow-r_z,body_wrist-r_x,body_wrist-r_y,body_wrist-r_z,body_shoulder-l_x,body_shoulder-l_y,body_shoulder-l_z,body_elbow-l_x,body_elbow-l_y,body_elbow-l_z,body_wrist-l_x,body_wrist-l_y,body_wrist-l_z,body_hip-r_x,body_hip-r_y,body_hip-r_z,body_knee-r_x,body_knee-r_y,body_knee-r_z,body_ankle-r_x,body_ankle-r_y,body_ankle-r_z,body_hip-l_x,body_hip-l_y,body_hip-l_z,body_knee-l_x,body_knee-l_y,body_knee-l_z,body_ankle-l_x,body_ankle-l_y,body_ankle-l_z,body_eye-r_x,body_eye-r_y,body_eye-r_z,body_eye-l_x,body_eye-l_y,body_eye-l_z,body_ear-r_x,body_ear-r_y,body_ear-r_z,body_ear-l_x,body_ear-l_y,body_ear-l_z,left_wirst_x,left_wirst_y,left_wirst_z,left_thumb-palm_x,left_thumb-palm_y,left_thumb-palm_z,left_thumb-proximal_x,left_thumb-proximal_y,left_thumb-proximal_z,left_thumb-middle_x,left_thumb-middle_y,left_thumb-middle_z,left_thumb-distal_x,left_thumb-distal_y,left_thumb-distal_z,left_index-palm_x,left_index-palm_y,left_index-palm_z,left_index-proximal_x,left_index-proximal_y,left_index-proximal_z,left_index-middle_x,left_index-middle_y,left_index-middle_z,left_index-distal_x,left_index-distal_y,left_index-distal_z,left_middle-palm_x,left_middle-palm_y,left_middle-palm_z,left_middle-proximal_x,left_middle-proximal_y,left_middle-proximal_z,left_middle-middle_x,left_middle-middle_y,left_middle-middle_z,left_middle-distal_x,left_middle-distal_y,left_middle-distal_z,left_ring-palm_x,left_ring-palm_y,left_ring-palm_z,left_ring-proximal_x,left_ring-proximal_y,left_ring-proximal_z,left_ring-middle_x,left_ring-middle_y,left_ring-middle_z,left_ring-distal_x,left_ring-distal_y,left_ring-distal_z,left_pinky-palm_x,left_pinky-palm_y,left_pinky-palm_z,left_pinky-proximal_x,left_pinky-proximal_y,left_pinky-proximal_z,left_pinky_middle_x,left_pinky_middle_y,left_pinky_middle_z,left_pinky-distal_x,left_pinky-distal_y,left_pinky-distal_z,right_wirst_x,right_wirst_y,right_wirst_z,right_thumb-palm_x,right_thumb-palm_y,right_thumb-palm_z,right_thumb-proximal_x,right_thumb-proximal_y,right_thumb-proximal_z,right_thumb-middle_x,right_thumb-middle_y,right_thumb-middle_z,right_thumb-distal_x,right_thumb-distal_y,right_thumb-distal_z,right_index-palm_x,right_index-palm_y,right_index-palm_z,right_index-proximal_x,right_index-proximal_y,right_index-proximal_z,right_index-middle_x,right_index-middle_y,right_index-middle_z,right_index-distal_x,right_index-distal_y,right_index-distal_z,right_middle-palm_x,right_middle-palm_y,right_middle-palm_z,right_middle-proximal_x,right_middle-proximal_y,right_middle-proximal_z,right_middle-middle_x,right_middle-middle_y,right_middle-middle_z,right_middle-distal_x,right_middle-distal_y,right_middle-distal_z,right_ring-palm_x,right_ring-palm_y,right_ring-palm_z,right_ring-proximal_x,right_ring-proximal_y,right_ring-proximal_z,right_ring-middle_x,right_ring-middle_y,right_ring-middle_z,right_ring-distal_x,right_ring-distal_y,right_ring-distal_z,right_pinky-palm_x,right_pinky-palm_y,right_pinky-palm_z,right_pinky-proximal_x,right_pinky-proximal_y,right_pinky-proximal_z,right_pinky_middle_x,right_pinky_middle_y,right_pinky_middle_z,right_pinky-distal_x,right_pinky-distal_y,right_pinky-distal_z,class,actor
0,605.12,172.0,2.0,613.06,350.0,2.0,486.08,336.0,2.0,335.3,552.0,2.0,438.47,306.0,2.0,749.96,364.0,2.0,783.68,594.0,2.0,0.0,0.0,0.0,523.78,638.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.38,144.0,2.0,636.87,144.0,2.0,535.68,170.0,2.0,676.55,172.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,301.0,0.56,481.0,286.0,0.52,513.0,275.0,0.67,521.0,247.0,0.7,506.0,234.0,0.61,500.0,246.0,0.18,509.0,234.0,0.21,517.0,243.0,0.32,503.0,245.0,0.21,477.0,238.0,0.29,499.0,225.0,0.53,494.0,244.0,0.47,490.0,244.0,0.29,462.0,235.0,0.32,491.0,225.0,0.51,484.0,243.0,0.47,473.0,246.0,0.41,442.0,236.0,0.6,461.0,230.0,0.34,465.0,239.0,0.65,458.0,245.0,0.68,a,felix
1,646.79,164.0,2.0,646.79,288.0,2.0,539.65,286.0,2.0,420.61,426.0,2.0,484.1,284.0,2.0,757.89,292.0,2.0,807.49,470.0,2.0,829.32,622.0,2.0,569.41,552.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,708.29,556.0,2.0,815.43,638.0,2.0,0.0,0.0,0.0,622.98,140.0,2.0,672.58,142.0,2.0,585.28,150.0,2.0,706.31,156.0,2.0,0.0,0.0,0.0,822.0,541.0,0.16,830.0,573.0,0.26,837.0,605.0,0.18,842.0,628.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,275.0,0.35,518.0,257.0,0.5,543.0,241.0,0.58,551.0,219.0,0.62,548.0,197.0,0.58,0.0,0.0,0.0,541.0,203.0,0.13,544.0,207.0,0.23,546.0,201.0,0.17,510.0,214.0,0.1,531.0,207.0,0.3,530.0,214.0,0.35,525.0,220.0,0.21,498.0,213.0,0.2,512.0,208.0,0.14,515.0,222.0,0.19,508.0,226.0,0.17,481.0,215.0,0.28,484.0,212.0,0.2,491.0,220.0,0.24,491.0,224.0,0.32,a,jer
2,658.69,216.34,2.0,656.71,358.56,2.0,515.84,348.54,2.0,367.04,446.7,2.0,404.74,274.43,2.0,797.57,368.57,2.0,851.14,550.86,2.0,0.0,0.0,0.0,575.36,639.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.92,188.29,2.0,690.44,196.31,2.0,589.25,214.33,2.0,732.1,226.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,268.0,0.55,431.0,254.0,0.56,452.0,235.0,0.55,460.0,210.0,0.74,446.0,191.0,0.76,442.0,208.0,0.27,441.0,191.0,0.48,440.0,197.0,0.5,443.0,206.0,0.39,419.0,209.0,0.34,424.0,187.0,0.7,426.0,207.0,0.77,428.0,218.0,0.66,403.0,212.0,0.48,402.0,192.0,0.81,407.0,210.0,0.56,411.0,226.0,0.64,386.0,223.0,0.54,384.0,204.0,0.66,387.0,213.0,0.7,395.0,226.0,0.69,a,jolo
3,728.13,200.31,2.0,740.04,364.57,2.0,632.9,364.57,2.0,507.91,564.88,2.0,575.36,414.65,2.0,857.09,362.57,2.0,924.55,552.86,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.36,170.27,2.0,755.91,170.27,2.0,664.64,202.32,2.0,787.65,194.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,406.0,0.57,609.0,387.0,0.49,632.0,372.0,0.34,645.0,340.0,0.61,657.0,317.0,0.47,626.0,366.0,0.45,644.0,341.0,0.6,648.0,328.0,0.61,656.0,316.0,0.58,612.0,352.0,0.43,622.0,329.0,0.59,613.0,340.0,0.5,613.0,341.0,0.44,590.0,351.0,0.39,599.0,337.0,0.54,594.0,346.0,0.56,591.0,352.0,0.54,566.0,353.0,0.56,576.0,341.0,0.48,573.0,344.0,0.66,569.0,350.0,0.6,a,joy
4,606.22,206.97,2.0,620.27,323.51,2.0,505.85,315.47,2.0,393.44,504.35,2.0,403.48,369.72,2.0,732.68,327.53,2.0,764.8,492.3,2.0,774.84,626.92,2.0,513.88,640.99,2.0,0.0,0.0,0.0,0.0,0.0,0.0,662.43,640.99,2.0,0.0,0.0,0.0,0.0,0.0,0.0,582.13,182.85,2.0,632.32,180.84,2.0,552.02,200.94,2.0,674.47,194.91,2.0,773.0,608.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,356.0,0.41,439.0,341.0,0.56,465.0,319.0,0.7,473.0,294.0,0.61,476.0,273.0,0.6,450.0,295.0,0.1,463.0,278.0,0.57,460.0,290.0,0.54,459.0,300.0,0.62,431.0,298.0,0.19,444.0,281.0,0.63,442.0,304.0,0.63,441.0,311.0,0.54,413.0,298.0,0.29,425.0,286.0,0.65,426.0,306.0,0.62,425.0,313.0,0.49,392.0,300.0,0.48,406.0,289.0,0.59,408.0,303.0,0.66,407.0,310.0,0.49,a,kyle
5,662.66,182.28,2.0,658.69,356.56,2.0,545.6,350.55,2.0,432.51,526.82,2.0,492.03,348.54,2.0,771.78,370.58,2.0,773.76,572.89,2.0,716.23,639.0,2.0,549.57,639.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,680.52,639.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,630.92,160.25,2.0,688.45,158.25,2.0,599.17,200.31,2.0,724.16,198.31,2.0,770.0,600.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,343.0,0.43,527.0,323.0,0.62,551.0,299.0,0.66,562.0,274.0,0.74,564.0,252.0,0.59,544.0,276.0,0.25,551.0,257.0,0.58,557.0,265.0,0.43,550.0,277.0,0.29,521.0,275.0,0.39,541.0,257.0,0.67,538.0,276.0,0.84,531.0,288.0,0.67,509.0,273.0,0.48,525.0,259.0,0.68,520.0,280.0,0.63,515.0,289.0,0.64,492.0,272.0,0.65,505.0,262.0,0.54,504.0,277.0,0.6,501.0,284.0,0.56,a,min
6,630.92,195.69,2.0,642.82,387.39,2.0,517.83,381.4,2.0,357.12,563.12,2.0,535.68,363.43,2.0,783.68,399.38,2.0,829.32,605.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.14,171.73,2.0,664.64,173.73,2.0,569.41,211.67,2.0,702.34,215.66,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,345.0,0.23,595.0,334.0,0.18,632.0,317.0,0.19,629.0,306.0,0.35,630.0,272.0,0.2,626.0,286.0,0.28,632.0,274.0,0.28,629.0,287.0,0.29,616.0,306.0,0.19,601.0,296.0,0.33,613.0,274.0,0.37,606.0,297.0,0.43,604.0,308.0,0.37,580.0,296.0,0.29,594.0,275.0,0.42,587.0,297.0,0.46,581.0,309.0,0.39,548.0,295.0,0.5,555.0,285.0,0.52,569.0,295.0,0.53,563.0,307.0,0.51,a,sab
7,602.21,173.08,2.0,608.23,356.21,2.0,481.76,348.16,2.0,335.23,579.6,2.0,421.54,340.11,2.0,744.73,368.29,2.0,778.85,597.71,2.0,0.0,0.0,0.0,515.89,641.99,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.08,144.9,2.0,630.31,144.9,2.0,529.94,173.08,2.0,672.46,173.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,331.0,0.56,463.0,318.0,0.57,489.0,291.0,0.54,489.0,267.0,0.49,481.0,240.0,0.57,484.0,255.0,0.62,490.0,223.0,0.71,493.0,197.0,0.69,496.0,178.0,0.67,463.0,252.0,0.62,473.0,215.0,0.7,479.0,187.0,0.7,478.0,164.0,0.77,447.0,252.0,0.69,458.0,216.0,0.66,461.0,190.0,0.67,462.0,169.0,0.82,427.0,252.0,0.72,435.0,225.0,0.72,441.0,206.0,0.76,444.0,189.0,0.77,b,felix
8,652.39,166.78,2.0,644.36,291.36,2.0,531.95,287.34,2.0,417.53,434.02,2.0,475.74,283.32,2.0,758.78,297.39,2.0,802.94,470.19,2.0,814.99,610.85,2.0,554.03,584.73,2.0,0.0,0.0,0.0,0.0,0.0,0.0,732.68,610.85,2.0,0.0,0.0,0.0,0.0,0.0,0.0,630.31,140.66,2.0,676.48,142.67,2.0,590.16,152.71,2.0,708.6,158.74,2.0,806.0,514.0,0.18,817.0,541.0,0.36,829.0,576.0,0.43,838.0,603.0,0.43,841.0,627.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,286.0,0.42,499.0,269.0,0.41,517.0,247.0,0.55,514.0,223.0,0.46,496.0,213.0,0.43,515.0,224.0,0.47,525.0,200.0,0.62,528.0,182.0,0.61,531.0,166.0,0.62,503.0,220.0,0.46,511.0,190.0,0.72,512.0,168.0,0.68,513.0,150.0,0.59,489.0,219.0,0.51,497.0,192.0,0.58,499.0,170.0,0.58,498.0,151.0,0.66,474.0,221.0,0.52,482.0,198.0,0.62,483.0,182.0,0.65,484.0,168.0,0.65,b,jer
9,648.38,215.34,2.0,652.39,364.26,2.0,515.89,356.21,2.0,379.39,489.04,2.0,421.54,328.04,2.0,796.92,370.3,2.0,851.12,553.44,2.0,0.0,0.0,0.0,572.1,641.99,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.26,189.18,2.0,680.49,195.21,2.0,580.12,217.35,2.0,724.65,225.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,326.0,0.52,452.0,308.0,0.63,471.0,282.0,0.66,462.0,256.0,0.48,445.0,248.0,0.36,466.0,259.0,0.6,471.0,234.0,0.61,471.0,215.0,0.7,471.0,196.0,0.73,446.0,258.0,0.6,453.0,224.0,0.66,454.0,203.0,0.72,455.0,180.0,0.79,429.0,259.0,0.67,436.0,230.0,0.63,439.0,205.0,0.67,443.0,188.0,0.65,412.0,264.0,0.68,417.0,239.0,0.71,420.0,222.0,0.7,423.0,207.0,0.74,b,jolo
10,722.18,200.0,2.0,730.12,366.0,2.0,609.09,370.0,2.0,515.84,564.0,2.0,613.06,426.0,2.0,859.08,360.0,2.0,920.58,548.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.4,172.0,2.0,749.96,170.0,2.0,664.64,206.0,2.0,785.67,196.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,422.0,0.56,648.0,410.0,0.61,666.0,391.0,0.69,660.0,367.0,0.51,647.0,354.0,0.57,655.0,357.0,0.65,670.0,331.0,0.72,670.0,308.0,0.74,669.0,286.0,0.63,647.0,356.0,0.63,657.0,323.0,0.56,657.0,298.0,0.76,657.0,276.0,0.79,636.0,355.0,0.54,637.0,331.0,0.69,637.0,307.0,0.63,638.0,285.0,0.66,624.0,357.0,0.64,618.0,343.0,0.48,614.0,323.0,0.64,613.0,310.0,0.7,b,joy
11,598.19,197.23,2.0,616.26,319.99,2.0,503.85,305.9,2.0,379.39,501.11,2.0,445.63,334.08,2.0,728.67,338.1,2.0,746.74,529.29,2.0,644.36,641.99,2.0,491.8,625.89,2.0,0.0,0.0,0.0,0.0,0.0,0.0,638.34,641.99,2.0,0.0,0.0,0.0,0.0,0.0,0.0,574.1,171.06,2.0,628.3,171.06,2.0,548.01,191.19,2.0,672.46,191.19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,334.0,0.48,477.0,326.0,0.49,497.0,307.0,0.6,493.0,285.0,0.43,471.0,273.0,0.29,502.0,275.0,0.61,513.0,249.0,0.66,516.0,229.0,0.65,518.0,212.0,0.65,490.0,269.0,0.61,500.0,239.0,0.65,504.0,217.0,0.59,506.0,197.0,0.64,474.0,267.0,0.56,483.0,239.0,0.62,490.0,218.0,0.59,494.0,201.0,0.65,457.0,267.0,0.6,465.0,242.0,0.6,468.0,227.0,0.64,473.0,212.0,0.63,b,kyle
12,640.84,184.29,2.0,640.84,342.53,2.0,525.76,348.54,2.0,365.06,520.81,2.0,448.39,382.6,2.0,757.89,340.53,2.0,867.01,526.82,2.0,815.43,639.0,2.0,547.59,639.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,684.48,639.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,611.08,156.24,2.0,670.6,156.24,2.0,577.35,186.29,2.0,706.31,186.29,2.0,829.0,627.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,376.0,0.52,479.0,365.0,0.57,498.0,347.0,0.64,483.0,326.0,0.62,462.0,316.0,0.41,494.0,307.0,0.66,496.0,274.0,0.66,496.0,252.0,0.65,495.0,233.0,0.68,476.0,304.0,0.61,476.0,265.0,0.63,476.0,242.0,0.71,481.0,220.0,0.64,462.0,303.0,0.61,458.0,267.0,0.61,458.0,248.0,0.62,459.0,229.0,0.66,448.0,307.0,0.69,440.0,281.0,0.65,435.0,265.0,0.59,432.0,250.0,0.67,b,min
13,632.32,199.24,2.0,638.34,396.46,2.0,499.83,398.48,2.0,355.3,583.62,2.0,539.98,442.75,2.0,784.88,400.49,2.0,823.01,599.73,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.21,175.09,2.0,662.43,181.13,2.0,570.09,213.33,2.0,702.57,217.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,431.0,0.58,592.0,422.0,0.63,622.0,396.0,0.66,623.0,377.0,0.58,614.0,357.0,0.41,614.0,358.0,0.73,623.0,323.0,0.71,623.0,298.0,0.78,623.0,269.0,0.68,600.0,352.0,0.66,603.0,312.0,0.72,603.0,286.0,0.69,601.0,258.0,0.77,580.0,355.0,0.7,588.0,314.0,0.71,589.0,288.0,0.66,590.0,264.0,0.66,564.0,359.0,0.76,566.0,329.0,0.67,567.0,310.0,0.77,573.0,288.0,0.75,b,sab
14,599.17,170.27,2.0,605.12,346.54,2.0,470.21,332.52,2.0,289.67,530.83,2.0,434.5,294.46,2.0,744.0,364.57,2.0,783.68,598.93,2.0,0.0,0.0,0.0,509.89,639.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.43,142.22,2.0,630.92,142.22,2.0,529.73,170.27,2.0,670.6,172.27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,293.0,0.66,471.0,292.0,0.59,503.0,285.0,0.68,536.0,274.0,0.77,564.0,256.0,0.74,485.0,227.0,0.46,508.0,191.0,0.52,535.0,190.0,0.58,557.0,197.0,0.6,479.0,221.0,0.51,508.0,187.0,0.4,536.0,190.0,0.23,553.0,192.0,0.14,476.0,222.0,0.55,508.0,190.0,0.56,535.0,189.0,0.41,551.0,191.0,0.15,480.0,226.0,0.6,509.0,192.0,0.52,533.0,190.0,0.68,556.0,196.0,0.6,c,felix
15,644.36,164.51,2.0,644.36,288.9,2.0,535.96,284.89,2.0,439.61,437.36,2.0,489.79,272.85,2.0,756.77,296.93,2.0,802.94,471.47,2.0,816.99,617.93,2.0,558.04,569.77,2.0,0.0,0.0,0.0,0.0,0.0,0.0,730.68,609.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,618.26,140.44,2.0,666.44,142.44,2.0,582.13,154.48,2.0,702.57,156.49,2.0,808.0,523.0,0.17,816.0,542.0,0.32,828.0,576.0,0.39,836.0,607.0,0.34,841.0,632.0,0.29,0.0,0.0,0.0,837.0,631.0,0.12,843.0,646.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,827.0,635.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,264.0,0.52,524.0,258.0,0.56,548.0,246.0,0.6,568.0,238.0,0.6,590.0,231.0,0.65,524.0,218.0,0.33,533.0,197.0,0.39,548.0,188.0,0.43,567.0,185.0,0.38,516.0,214.0,0.41,533.0,194.0,0.55,551.0,186.0,0.5,571.0,186.0,0.5,510.0,212.0,0.45,529.0,195.0,0.55,546.0,187.0,0.55,564.0,186.0,0.4,505.0,211.0,0.48,522.0,195.0,0.36,539.0,189.0,0.37,546.0,186.0,0.25,c,jer
